Host	HostOrder	Pathogen	pmid	title	abs	review_flag
mus musculus	Rodentia	cardiovirus a	10807532	Therapy with the nonpeptide endothelin receptor antagonist 97-139 in a murine model of congestive heart failure: reduction of cardiac mass and myofiber hypertrophy.	"Endothelin-1 (ET-1) is a potent vasoconstrictor. This peptide exerts numerous effects on the heart, including regulation of cardiomyocyte growth during hypertrophy. The effects of the structurally novel, nonpeptide, ET-1-selective, competitive antagonist (ETA) 97-139 were investigated in mice with congestive heart failure (CHF) and myocardial hypertrophy. Morphological and microscopical analyses were conducted on day 56 after viral inoculation following 28 day treatment with 99-139. Eight week-old DBA2 mice were intraperitoneally inoculated with encephalomyocarditis virus at a dose of 500 pfu/mouse. The 30 mice were divided into two groups--an ETA treated group and an untreated group. Heart weight (HW) in the infected group was significantly (p < 0.05) increased compared to that in the uninfected group. HW and the HW/body weight (BW) ratio were significantly (p < 0.05) reduced in the ETA treated group compared with the untreated group (HW; 127.7 +/- 6.2 mg vs 144.3 +/- 4.2 mg, HW/BW; 4.9 +/- 0.9 x 10(-3) vs 5.4 +/- 0.5 x 10(-3)). Myofiber diameter in the ETA treated group was significantly reduced compared with the untreated group (12.1 +/- 1.5 microm vs 14.3 +/- 1.9 microm). These results suggest the ET-1 receptor antagonist 97-139 has an effect on the reduction of cardiac mass and myofiber hypertrophy, and that 97-139 may be a useful agent for CHF due to viral myocarditis."	0
mus musculus	Rodentia	cardiovirus a	10862831	Oral administration of branched chain amino acids improves virus-induced glucose intolerance in mice.	"We investigated the therapeutic effect of branched chain amino acids (BCAA) on mice with glucose intolerance induced by encephalomyocarditis virus (EMCV). Male DBA/2 mice were divided into three groups: treated with BCAA, (such as valine, leucine, and isoleucine), untreated, and control. BCAA-treated and -untreated groups were inoculated intraperitoneally with the NDK25 variant of EMCV at 200 plaque-forming units per mouse. The BCAA-treated group was administered orally 0.9 g/kg/day of each BCAA from the day after viral inoculation. The control group neither received virus inoculation nor was treated with BCAA. One week after inoculation, oral glucose tolerance tests (OGTT) were performed. After the glucose loading at 1.5 g/kg of body weight, blood glucose levels in the untreated group were 92.0+/-10.0 mg/dl at baseline, 224.6+/-10.9 mg/dl at 30 min, and 169.4+/-21.4 mg/dl at 60 min, which were significantly (P<0.05) higher than those in the control group (62. 7+/-3.6 mg/dl, 167.2+/-16.4, and 83.8+/-6.0 mg/dl, respectively). Blood glucose levels in the BCAA-treated group were 54.5+/-3.7 mg/dl at baseline, 145.2+/-8.7 mg/dl at 30 min, and 128.7+/-18.3 mg/dl at 60 min after the glucose loading, which were not significantly higher than those in the control group. Immunoreactive insulin levels at 30 min after the glucose loading were lower in the untreated group than in the control group at 1 week after virus inoculation. Histological investigations showed that the grade of insulitis in the pancreas of mice of the BCAA-treated group was lower than that of the mice of the untreated group. These results suggest that oral administration of BCAA is able to improve glucose intolerance induced by EMCV."	0
mus musculus	Rodentia	cardiovirus a	11156888	Tumor necrosis factor-alpha (TNF-alpha) plays a protective role in acute viralmyocarditis in mice: A study using mice lacking TNF-alpha.	"It has been reported that tumor necrosis factor-alpha (TNF-alpha) is expressed in the heart with viral myocarditis and that its expression aggravates the condition. The pathophysiological effects of TNF-alpha on viral myocarditis, however, have not been fully elucidated., To investigate the role of TNF-alpha in the progression of viral myocarditis, we used TNF-alpha gene-deficient mice (TNF-alpha(-/-)) and induced acute myocarditis by infection with encephalomyocarditis virus (EMCV). The survival rate of TNF-alpha(-/-) mice after EMCV infection was significantly lower than that of TNF-alpha(+/+) mice (0% versus 67% on day 14). Injection of recombinant human TNF-alpha (0.2 to 4.0 microg/mouse IV) improved the survival of TNF-alpha(-/-) mice in a dose-dependent manner, indicating that TNF-alpha is essential for protection against viral myocarditis. The levels of viral titer and viral genomic RNA of EMCV in the myocardium were significantly higher in TNF-alpha(-/-) than in TNF-alpha(+/+) mice. Histopathological examination showed that the inflammatory changes of the myocardium were less marked in TNF-alpha(-/-) than in TNF-alpha(+/+) mice. Immunohistochemical analysis revealed that the levels of immunoreactivity of intercellular adhesion molecule-1 and vascular cell adhesion molecule-1 in the myocardium were decreased in TNF-alpha(-/-) mice compared with TNF-alpha(+/+) mice., These observations suggested that TNF-alpha is necessary for adhesion molecule expression and to recruit leukocytes to inflammatory sites, and thus, the lack of this cytokine resulted in failure of elimination of infectious agents. We concluded that TNF-alpha plays a protective role in the acute stage of viral myocarditis."	0
mus musculus	Rodentia	cardiovirus a	11421463	Tannins and related compounds: killing of amastigotes of Leishmania donovani and release of nitric oxide and tumour necrosis factor alpha in macrophages in vitro.	"The antileishmanial and immunomodulatory potencies of a series of 28 polyphenols were evaluated in terms of extra- and intracellular leishmanicidal activity and macrophage activation for release of nitric oxide (NO), tumour necrosis factor (TNF) and interferon (IFN)-like properties. For this, several functional bioassays were employed including an in vitro model for leishmaniasis in which murine bone marrow-derived macrophages (BMMphi) were infected with the obligate intracellular parasite Leishmania donovani, an extracellular Leishmania proliferation assay, a fibroblast-lysis assay (TNF-activity), and a biochemical assay for NO. Except for gallic acid, its methyl ester, shikimic acid and catechin (EC50 25.8-67.9 nM) all polyphenols tested significantly inhibited the intracellular survival of L. donovani amastigotes (EC50 0.4-13.9 nM) when compared with the clinically used agent, sodium stibogluconate (EC50 10.6 nM). In contrast, none of the samples proved to be directly toxic for the extracellular promastigote form of the parasite. Noteworthy, the phenolic samples showed only moderate or no cytotoxicity against the murine host cells (EC50 10 to >144 nM). Although NO is an important effector molecule in macrophage microbicidal activity, the inducing potential of the test compounds for its release was found to be very moderate ranging from 7-54 microM (IFN-gamma/LPS 119 microM). On the other hand, inhibition of NO production had no apparent effect on intracellular leishmanicidal activity of polyphenols. Their in vitro TNF-inducing potential producing 50% lysis in murine L929 cells increased in the order of simple phenols and flavanols (34-48 U/ml) < A-type proanthocyanidins (53-80 U/ml) < B-type proanthocyanidins (64-200 U/ml) < hydrolyzable tannins (287-350 U/ml) at the host cell subtoxic concentration of 50 microg/ml. Furthermore, gallic acid and some hydrolyzable tannins showed appreciable IFN-like activities (14-23 U/ml) as reflected by inhibition of the cytopathic effect of encephalomyocarditis virus on fibroblast L 929 cells. The results provide a rational basis for the recorded anti-infectious efficacy of traditionally used herbal medicines containing tannins in vivo, in the light of both only moderate direct antimicrobial activities of distinct polyphenols in vitro and the limited knowledge on their uptake in humans."	0
mus musculus	Rodentia	cardiovirus a	14550273	Analysis of T-cell receptor Vbeta gene from infiltrating T cells in insulitis and myocarditis in encephalomyocarditis virus-infected BALB/C mice.	"Encephalomyocarditis (EMC) virus induces insulin-dependent diabetes and myocarditis in several strains of mice. The T-cell receptor (TCR) Vbeta genes of infiltrating T cells in the pancreas and myocardium of BALB/C mice infected with EMC virus D-variant (EMC-D virus) were analyzed. Using a nested two-step polymerase chain reaction (PCR), TCR Vbeta cDNAs were cloned and sequenced. Two and four kinds of TCR Vbeta clones were obtained from T cells infiltrating into the pancreas and myocardium of BALB/C mice infected with EMC-D virus, respectively. The infiltrating lymphocytes in the diabetic mice expressed Vbeta 8.1, 8.2, and 8.3 genes predominantly. Previously, the use of Vbeta 8.2 has been reported in autoimmune diseases such as murine experimental allergic encephalomyelitis (EAE) and non-obese diabetic (NOD) mouse. This study suggests that mice infected with EMC virus are a useful animal model for autoimmune diseases such as insulin-dependent diabetes."	0
mus musculus	Rodentia	cardiovirus a	14578624	Gene expression of cardiac mast cell chymase and tryptase in a murine model of heart failure caused by viral myocarditis.	"This study examined the gene expression of mouse mast cell proteases to clarify their role in the pathophysiology of viral myocarditis. Male DBA/2 mice were inoculated intraperitoneally with the encephalomyocarditis virus and the gene expression of mast cell chymase, mouse mast cell protease (mMCP)-4 and -5, and tryptase, mMCP-6, matrix metalloproteinase (MMP)-9 and type-I procollagen was measured by real-time quantitative RT-PCR analysis. The gene expression of mMCP-4, -5 and -6 mRNA was increased at 5 days, and continued to increase to day 14, coinciding with a prominent inflammatory reaction and extensive myocardial necrosis and fibrosis. The gene expression of MMP-9 was also increased, and there was a significant correlation between upregulation of mast cell proteases and MMP-9. The gene expression of type-I procollagen was increased at 5 days and continued to increase to day 14, suggesting that a fibrotic process had already begun during the acute stage of viral myocarditis. These findings suggest that mast cell chymase and tryptase participate in the acute inflammation and remodeling process of viral myocarditis."	0
mus musculus	Rodentia	cardiovirus a	14984720	Suppression of cytokines and nitric oxide production, and protection against lethal endotoxemia and viral myocarditis by a new NF-kappaB inhibitor.	"Nuclear factor kappa B (NF-kappaB) is activated by several factors, which increase the inflammatory response, and this activation, in turn, leads to the expression of several genes such as cytokines, and may play an important role in cardiovascular diseases., The aim of the study is to examine the effect of SUN C8079, a newly synthesized NF-kappaB inhibitor in vitro and in vivo., We examined the effects of SUN C8079 on the transcriptional responses of NF-kappaB, on activation of NF-kappaB in electrophoretic mobility shift assay, and on the gene expressions of tumor necrosis factor (TNF)-alpha and iNOS. We also studied effects of SUN C8079 on lethal endotoxemia and viral myocarditis in mice., SUN C8079 inhibited the lipopolysaccharide (LPS)-induced expression of the genes of TNF-alpha and iNOS by inhibiting the activation of NF-kappaB in vitro. SUN C8079 inhibited the systemic release of TNF-alpha and improved mortality in LPS-treated mice. In addition to protecting mice against lethal endotoxemia, SUN C8079 prevented the development of myocarditis due to the encephalomyocarditis virus (EMCV), and inhibited the expressions of proinflammatory cytokines and the iNOS gene in cardiac tissues., These findings suggest that the activation of NF-kappaB plays an important role in the pathogenesis of endotoxemia and viral myocarditis, and that the NF-kappaB inhibitor, SUN C8079, may be therapeutic in these disorders."	0
mus musculus	Rodentia	cardiovirus a	15215053	Characteristics of testicular lesions in mice infected with a low dose of encephalomyocarditis (EMC) virus.	"We investigated the characteristics of testicular lesions induced in mice with a low dose (10 plaque forming units/mouse) of the D variant of encephalomyocarditis (EMC-D) virus. The virus titers of blood and testis peaked at 5 days post-inoculation (5 DPI) and were no longer detected at 14 DPI. The IFN-gamma and iNOS mRNAs expression in the testis and spleen detected by RT-PCR was prominently elevated at 7 DPI, although the expression level of TNF-alpha mRNA was not affected. Signals of viral RNA were clearly detected in degenerative germinal epithelia (in situ hybridization) at 7 DPI, which were surrounded by a small number of macrophages and a few CD4 + T cells and CD8 + T cells (immunohistochemistry). Signals were no longer detected at 21 DPI when seminiferous tubules were highly degenerative and accompanied with infiltration of many macrophages and a small numbers of CD4 + T cells and CD8 + T cells. At 35 DPI, marked atrophy of germinal epithelia composed of Sertoli cells alone was observed, and there were almost no infiltrating cells detected. The present results suggest that macrophages may play an important role in the development of testicular lesions induced in mice with a low dose of EMC-D."	0
mus musculus	Rodentia	cardiovirus a	15240179	Leptin deficiency enhances myocardial necrosis and lethality in a murine model of viral myocarditis.	"To investigate the role of leptin in the development of viral myocarditis and cardiac necrosis, we used a murine model of viral myocarditis. We intraperitoneally injected encephalomyocarditis virus (500 plaque-forming units/mouse) for wild type C57 BL/6 mice (WT) and leptin-deficient ob/ob mice (OB) (n = 20 for each). Ten-day survival rate was 25% in OB, whereas it was 95% in WT. Heart weights on day 10 were significantly elevated in OB compared with those in WT (107.2 +/- 9.4 vs. 96.6 +/- 7.9 mg, n = 4 for each). Thymus weights were significantly diminished in OB compared with those in WT on days 6 and 10. Histological score (grade 1 to 4 according to the size of involved area) for myocardial necrosis were significantly higher in OB than in WT (1.5 +/- 0.5 vs. 0.8 +/- 0.5, n = 4 for each). On day 4, viral titer in hearts was significantly elevated in OB compared with that in WT (3.3 +/- 0.5 vs. 1.9 +/- 0.2 TCID50/mg, n = 3 for each). Comparative expression of TNF-alpha mRNA in hearts from OB were significantly increased compared with those in WT on day 7 (n = 3 for each). Natural killer cell activities in spleens from OB were significantly lower than from WT on day 4 (27 +/- 5 vs. 42 +/- 8%, n = 4 for each). Thus, leptin deficiency could enhance severity of myocardial necrosis and mortality due to viral myocarditis."	0
mus musculus	Rodentia	cardiovirus a	16107267	Inhibition of cyclooxygenase-2 enhances myocardial damage in a mouse model of viral myocarditis.	"To determine critical role of cyclooxygenase-2 (COX-2) for development of viral myocarditis, a mouse model of encephalomyocarditis virus-induced myocarditis was used. The virus was intraperitoneally given to COX-2 gene-deficient heterozygote mice (COX-2+/-) and wild-type mice (WT). We examined differences in heart weights, cardiac histological scores, numbers of infiltrating or apoptotic cells in myocardium, cardiac expression levels of COX-2, tumor necrosis factor-alpha (TNF-alpha), and adiponectin mRNA, immunoreactivity of COX-2, TNF-alpha, and adiponectin in myocytes, cardiac concentrations of TNF-alpha and adiponectin, prostaglandin E2 (PGE2) levels in hearts, and viral titers in tissues between COX-2+/- and WT. We observed significantly decreased expression of COX-2 mRNA and reactivity in hearts from COX-2+/- on day 8 after viral inoculation as compared with that from WT, together with elevated cardiac weights and severe inflammatory myocardial damage in COX-2+/-. Cardiac expression of TNF-alpha mRNA, reactivity, and protein on day 8 was significantly higher in COX-2+/- than in WT, together with reciprocal expression of adiponectin mRNA, reactivity, and protein in hearts. Significantly reduced cardiac PGE2 levels on day 8 were found in COX-2+/- compared with those in WT. There was no difference in local viral titers between both groups on day 4. Infected WT treated with a selective COX-2 inhibitor, NS-398, also showed the augmented myocardial damage on day 8. These results suggest that inhibition of COX-2 may enhance myocardial damage through reciprocal cardiac expression of TNF-alpha and adiponectin in a mouse model of viral myocarditis."	0
mus musculus	Rodentia	cardiovirus a	16479046	Impaired expression of cardiac adiponectin in leptin-deficient mice with viral myocarditis.	"A mouse model of encephalomyocarditis (EMC) virus-induced myocarditis was used to investigate the expression of adiponectin in damaged cardiomyocytes. We intraperitoneally injected EMC virus into leptin-deficient ob/ob (OB) mice and wild-type (WT) mice. OB mice were divided into two subgroups consisting of mice with no intervention and mice receiving leptin replacement starting simultaneously with viral inoculation. We determined differences in heart weight, cardiac histological score, numbers of infiltrating and apoptotic cells in the myocardium, expression levels of adiponectin and TNF-alpha mRNA in the heart, adiponectin immunoreactivity in myocytes, adiponectin and TNF-alpha concentrations in the heart, and immunoreactivity of adiponectin receptors in myocytes between OB mice and WT mice. There was significantly decreased adiponectin mRNA expression, immunoreactivity, and protein level in the heart, and reduced immunoreactivity of adiponectin receptor 1 in myocytes from OB mice on days 4 and 8 after viral inoculation as compared with those in WT mice, together with increased cardiac weight, severe inflammatory myocardial damage, and increased levels of cardiac TNF-alpha mRNA and protein. Replacement of leptin in OB mice inhibited the development of severe myocarditis through augmentation of adiponectin mRNA, immunoreactivity, and protein level, increased adiponectin receptor 1 immunoreactivity in myocytes, and suppressed levels of TNF-alpha mRNA and protein. These results suggest that impaired expression of cardiac adiponectin may contribute to the progression of viral myocarditis through enhanced expression of TNF-alpha under a leptin-deficient condition."	0
mus musculus	Rodentia	cardiovirus a	16603526	Cardiovirus leader proteins are functionally interchangeable and have evolved to adapt to virus replication fitness.	"The leader (L) proteins encoded by picornaviruses of the genus Cardiovirus [Theiler's murine encephalomyelitis virus (TMEV) and Encephalomyocarditis virus (EMCV)] are small proteins thought to exert important functions in virus-host interactions. The L protein of persistent TMEV strains was shown to be dispensable for virus replication in vitro, but crucial for long-term persistence of the virus in the central nervous system of the mouse. The phenotype of chimeric viruses generated by exchanging the L-coding regions was analysed and it was shown that the L proteins of neurovirulent and persistent TMEV strains are functionally interchangeable in vitro and in vivo, despite the fact that L is the second most divergent protein encoded by these viruses after the L* protein. The L protein encoded by EMCV and Mengo virus (an EMCV strain) shares about 35 % amino acid identity with that of TMEV. It differs from the latter by lacking a serine/threonine-rich C-terminal domain and by carrying phosphorylated residues not conserved in the TMEV L protein. Our data show that, in spite of these differences, the L protein of Mengo virus shares, with that of TMEV, the ability to inhibit the transcription of type I interferon, cytokine and chemokine genes and to interfere with nucleocytoplasmic trafficking of host-cell proteins. Interestingly, analysis of viral RNA replication of the recombinant viruses raised the hypothesis that L proteins of TMEV and EMCV diverged during evolution to adapt to the different replication fitness of these viruses."	0
mus musculus	Rodentia	cardiovirus a	17963525	Long term expression of bicistronic vector driven by the FGF-1 IRES in mouse muscle.	"Electrotransfer of plasmid DNA into skeletal muscle is a promising strategy for the delivery of therapeutic molecules targeting various muscular diseases, cancer and lower-limb ischemia. Internal Ribosome Entry Sites (IRESs) allow co-expression of proteins of interest from a single transcriptional unit. IRESs are RNA elements that have been found in viral RNAs as well as a variety of cellular mRNAs with long 5' untranslated regions. While the encephalomyocarditis virus (EMCV) IRES is often used in expression vectors, we have shown that the FGF-1 IRES is equally active to drive short term transgene expression in mouse muscle. To compare the ability of the FGF-1 IRES to drive long term expression against the EMCV and FGF-2 IRESs, we performed analyses of expression kinetics using bicistronic vectors that express the bioluminescent renilla and firefly luciferase reporter genes. Long term expression of bicistronic vectors was also compared to that of monocistronic vectors. Bioluminescence was quantified ex vivo using a luminometer and in vivo using a CCD camera that monitors luminescence within live animals., Our data demonstrate that the efficiency of the FGF-1 IRES is comparable to that of the EMCV IRES for long term expression of bicistronic transgenes in mouse muscle, whereas the FGF-2 IRES has a very poor activity. Interestingly, we show that despite the global decrease of vector expression over time, the ratio of firefly to renilla luciferase remains stable with bicistronic vectors containing the FGF-1 or FGF-2 IRES and is slightly affected with the EMCV IRES, whereas it is clearly unstable for mixed monocistronic vectors. In addition, long term expression more drastically decreases with monocistronic vectors, and is different for single or mixed vector injection., These data validate the use of bicistronic vectors rather than mixed monocistronic vectors for long term expression, and support the use of the FGF-1 IRES. The use of a cellular IRES over one of viral origin is of particular interest in the goal of eliminating viral sequences from transgenic vectors. In addition, the FGF-1 IRES, compared to the EMCV IRES, has a more stable activity, is shorter in length and more flexible in terms of downstream cloning of second cistrons. Finally, the FGF-1 IRES is very attractive to develop multicistronic expression cassettes for gene transfer in mouse muscle."	0
mus musculus	Rodentia	cardiovirus a	19213804	Anti-inflammatory effects of eplerenone on viral myocarditis.	"Inflammation contributes to increased cardiovascular morbidity and mortality associated with activation of the renin-angiotensin-aldosterone system. The aim of this study was to investigate whether eplerenone, a selective aldosterone receptor antagonist, has anti-inflammatory effects on viral myocarditis., Four-week-old inbred male DBA/2 mice were inoculated intraperitoneally with 10 plaque-forming units (pfu) of the encephalomyocarditis (EMC) virus. Mice were fed with standard chow (control) or with chow containing 2.5 mg/kg of eplerenone, starting either on day 0 (inoculation) or day 7. Survival at 28 days was significantly higher in the mice which started eplerenone treatment on day 0 (35 vs. 15% in controls, each n = 40, P < 0.05). The area of myocardial fibrosis on day 28 was significantly smaller in the eplerenone-treated mice than in controls (19.8 +/- 2.6%, n = 14, vs. 33.4 +/- 5.4%, n = 6, mean +/- SEM, P < 0.05). Gene expression of mouse mast cell proteases-4 and -5, matrix metalloproteinase-9, and type I procollagen on day 6 after EMC virus inoculation was significantly decreased in the hearts of eplerenone-treated mice., These results suggest that eplerenone has anti-inflammatory effects, and exerts its beneficial effects on viral myocarditis by suppression of genes related to mast cells and cardiac remodelling in the hearts of mice."	0
mus musculus	Rodentia	cardiovirus a	21307205	The IRF-3/Bax-mediated apoptotic pathway, activated by viral cytoplasmic RNA and DNA, inhibits virus replication.	"Induction of apoptosis in cells infected by Sendai virus (SeV), which triggers the cytosolic RIG-I pathway, requires the presence of interferon regulatory factor 3 (IRF-3). Independent of IRF-3's transcriptional role, a novel IRF-3 activation pathway causes its interaction with the proapoptotic protein Bax and its mitochondrial translocation to induce apoptosis. Here we report that two other RNA viruses, vesicular stomatitis virus (VSV) and encephalomyocarditis virus (EMCV), may also activate the same pathway. Moreover, cytosolic DNA, produced by adenovirus or introduced by transfection, activated the pathway in an RNA polymerase III-dependent fashion. To evaluate the contribution of this newly discovered apoptotic pathway to the host's overall antiviral response, we measured the efficiencies of replication of various viruses in vitro and viral pathogenesis in vivo, using cells and mice that are selectively deficient in components required for the apoptotic pathway of IRF-3. Our results clearly demonstrate that the IRF-3/Bax-mediated apoptotic signaling branch contributes significantly to the host's protection from viral infection and consequent pathogenesis."	0
mus musculus	Rodentia	cardiovirus b	19870629	SPONTANEOUS ENCEPHALOMYELITIS OF MICE, A NEW VIRUS DISEASE.	"1. The characteristics of a filterable virus obtained from mice found spontaneously paralyzed and showing lesions of encephalomyelitis are described. 2. The course of the disease in mice, following intracerebral inoculation, is briefly as follows: After an incubation period varying from 7 to over 30 days a flaccid paralysis of one of the limbs appears. This paralysis usually spreads rapidly until all four limbs are affected. Young mice are more susceptible than older ones, and very young mice, less than 4 weeks of age, usually die without showing signs of paralysis. 3. Adult mice often show no signs of infection after an intracerebral inoculation of virus. A number of these mice, although showing no signs of paralysis, nevertheless have become infected, a fact which is demonstrated by recovery of the virus from the mice as well as by histopathological studies. 4. Intranasal instillation of the virus is the only other method of producing the infection. This method, however, produces paralysis in only a small percentage of the mice. Following intranasal instillation of the virus, there often develops a slight immunity to a subsequent intracerebral injection of virus. 5. The paralysis in the surviving mice recedes gradually, but a permanent residual paralysis, usually of the hind legs, is almost invariable. Such mice, however, are virus carriers, as the virus can be recovered from the spinal cord for 1 year after infection. 6. Paralyzed mice are immune to a subsequent intracerebral injection of the virus. There is evidence that neutralizing substances are present in the immune mice. A considerable proportion of the mice which have remained well after an intracerebral injection of virus are immune to a second injection. 7. The virus resists the action of 50 per cent glycerine at from 2-4 degrees C. for at least 150 days. It passes all grades of Berkefeld filters with ease. By the use of graded collodion filters, the size of the virus particle has been determined to be probably about 13 to 19 mmicro. 8. The virus of mouse encephalomyelitis is not pathogenic for rhesus monkeys. No evidence of immunological relationship with the virus of human poliomyelitis has been obtained. 9. The anatomical basis of the paralysis is an acute necrosis of the ganglion cells of the anterior horn of the spinal cord. Isolated ganglion cells of the cerebrum also undergo necrosis. Following the acute necrosis of the ganglion cells, there is a marked neuronophagia. A perivascular infiltration is observed in the brain and spinal cord."	0
mus musculus	Rodentia	cowpox virus	6290850	Mechanism of antibody-mediated protection against herpes simplex virus infection in athymic nude mice: requirement of Fc portion of antibody.	"Experiments were performed to investigate the resistance of the host due to antibody-mediated mechanisms to herpes simplex virus (HSV) infection. Transfer of hyperimmune anti-HSV mouse serum inhibited the development of skin lesions and prolonged the survival of lethally HSV-infected nude mice. Relatively high concentrations of antibody were required to achieve this protection. Antisera prepared in heterologous animals were also effective, while administration of anti-cowpox virus serum or interferon provided no protection. This type of protection is therefore due to specific antibody and cannot be attributed to interferon. In order to delineate the requirement for antibody in antibody-mediated protection, human gamma globulin preparations were transferred to lethally HSV-infected nude mice. Transfer of intact human gamma globulin (GG) was effective in controlling infection. S-sulfonation of GG did not diminish the protective ability. However, purified F(ab')2 did not have any protective action even when it was administered frequently to maintain serum neutralizing antibody titer. GG was effective in C5-deficient mice lethally infected with HSV. These results indicate that in vivo antibody-mediated protection to HSV infection requires the Fc region of the intact IgG molecule and suggest that antibody-dependent cell-mediated cytotoxicity may be operative in vivo."	0
mus musculus	Rodentia	cowpox virus	10435631	The zinc finger protein A20 interacts with a novel anti-apoptotic protein which is cleaved by specific caspases.	"A20 is a Cys2/Cys2 zinc finger protein which is induced by a variety of inflammatory stimuli and which has been characterized as an inhibitor of cell death by a yet unknown mechanism. In order to clarify its molecular mechanism of action, we used the yeast two-hybrid system to screen for proteins that interact with A20. A cDNA fragment was isolated which encoded a portion of a novel protein (TXBP151), which was recently found to be a human T-cell leukemia virus type-I (HTLV-I) Tax-binding protein. The full-length 2386 bp TXBP151 mRNA encodes a protein of 86 kDa. Like A20, overexpression of TXBP151 could inhibit apoptosis induced by tumour necrosis factor (TNF) in NIH3T3 cells. Moreover, transfection of antisense TXBP151 partially abolished the anti-apoptotic effect of A20. Furthermore, apoptosis induced by TNF or CD95 (Fas/APO-1) was associated with proteolysis of TXBP151. This degradation could be inhibited by the broad-spectrum caspase inhibitor zVAD-fmk or by expression of the cowpox virus-derived inhibitor CrmA, suggesting that TXBP151 is a novel substrate for caspase family members. TXBP151 was indeed found to be specifically cleaved in vitro by members of the caspase-3-like subfamily, viz. caspase-3, caspase-6 and caspase-7. Thus TXBP151 appears to be a novel A20-binding protein which might mediate the anti-apoptotic activity of A20, and which can be processed by specific caspases."	0
mus musculus	Rodentia	cowpox virus	10705388	A mouse model of aerosol-transmitted orthopoxviral disease: morphology of experimental aerosol-transmitted orthopoxviral disease in a cowpox virus-BALB/c mouse system.	"To determine the morphologic changes and disease progression of aerosolized cowpox virus infection in BALB/c mice and to ascertain the suitability of cowpox virus-infected BALB/c mice as a model of aerosol-transmitted, orthopoxviral respiratory disease., BALB/c mice were inoculated with cowpox virus, Brighton strain, by aerosol or intranasal route. Mice were killed at specified times after inoculation, necropsied, and tissues were collected for routine histology, immunohistochemistry, and electron microscopy., Inoculation by both routes resulted in disease and death. Immunolabeled viral antigen and lesions predominated in the tissues associated with the inoculation route, that is, lungs, airways, trachea, and nasal passages and sinuses. Tracheitis was evident in the intranasally infected group only. Lesions were generally necrotizing and hemorrhagic, neutrophilic, and increased in extent and severity in a time-dependent fashion. Viral intracytoplasmic inclusion bodies, immunolabeled viral antigen, or virions were readily seen in epithelial tissues, smooth muscle cells of airways and vessels, fibroblasts, periosteal cells, perineural cells, and macrophages. Although the extension of infection appeared to be primarily direct, lesions suggesting hematogenous dissemination were occasionally noted in bone marrow and skin. Transmission electron microscopy demonstrated features of cell injury or death, virion assembly and maturation, and both A-type and B-type inclusions., Aerosol inoculation of BALB/c mice with cowpox virus provides a reliable and facilitative model of aerosol-transmitted, orthopoxviral respiratory disease."	0
mus musculus	Rodentia	cowpox virus	21812420	Tyrosine-based 1-(S)-[3-hydroxy-2-(phosphonomethoxy)propyl]cytosine and -adenine ((S)-HPMPC and (S)-HPMPA) prodrugs: synthesis, stability, antiviral activity, and in vivo transport studies.	"Eight novel single amino acid (6-11) and dipeptide (12, 13) tyrosine P-O esters of cyclic cidofovir ((S)-cHPMPC, 4) and its cyclic adenine analogue ((S)-cHPMPA, 3) were synthesized and evaluated as prodrugs. In vitro IC(50) values for the prodrugs (<0.1-50 μM) vs vaccinia, cowpox, human cytomegalovirus, and herpes simplex type 1 virus were compared to those for the parent drugs ((S)-HPMPC, 2; (S)-HPMPA, 1; IC(50) 0.3-35 μM); there was no cytoxicity with KB or HFF cells at ≤100 μM. The prodrugs exhibited a wide range of half-lives in rat intestinal homogenate at pH 6.5 (<30-1732 min) with differences of 3-10× between phostonate diastereomers. The tyrosine alkylamide derivatives of 3 and 4 were the most stable. (l)-Tyr-NH-i-Bu cHPMPA (11) was converted in rat or mouse plasma solely to two active metabolites and had significantly enhanced oral bioavailability vs parent drug 1 in a mouse model (39% vs <5%)."	0
mus musculus	Rodentia	dengue virus	1682924	Construction of intertypic chimeric dengue viruses by substitution of structural protein genes.	"Dengue virus contains an 11-kilobase positive-strand RNA genome that codes for, in one open reading frame, three structural proteins (capsid, premembrane, and envelope), followed by seven nonstructural proteins. The structural protein genes of a full-length cDNA clone of type 4 dengue virus were replaced with the corresponding genes of dengue 1 or dengue 2 to create intertypic chimeric cDNA. The RNA transcripts made from these templates were infectious when transfected into permissive cells in culture. Progeny of chimeric cDNA produced apparently authentic dengue 1 or dengue 2 structural proteins, together with dengue 4 nonstructural proteins, and as a consequence exhibited type 1 or type 2 serological specificity. Both of the chimeras ultimately grew to the same titer as their type 1 or type 2 parent, but the type 2/type 4 chimera grew very slowly. This chimera also produced small plaques; in contrast, the type 1/type 4 chimera produced normal size plaques. The type 2/type 4 chimera retained the mouse neurovirulence of the dengue 2 virus, which was the source of its structural protein genes. Each of the mice inoculated intracerebrally with the chimera died, but survival time was prolonged. The retardation of replication of the type 2/type 4 chimeric virus suggests that this virus and possibly other intertypic dengue virus chimeras with similar properties should be examined for attenuation in primates and possible usefulness in a live dengue virus vaccine for humans."	0
