PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Pybus, Oliver G.; Gray, Rebecca R.								VIROLOGY The virus whose family expanded								NATURE				498	7454			310	311		10.1038/498310b				JUN 20 2013	2013																						WOS:000320592900029	23783626	
J	Bhattarai, Nirjal; McLinden, James H.; Xiang, Jinhua; Landay, Alan L.; Chivero, Ernest T.; Stapleton, Jack T.								GB Virus C Particles Inhibit T Cell Activation via Envelope E2 Protein-Mediated Inhibition of TCR Signaling								JOURNAL OF IMMUNOLOGY				190	12			6351	6359		10.4049/jimmunol.1300589				JUN 15 2013	2013	Viruses enter into complex interactions within human hosts, leading to facilitation or suppression of each other's replication. Upon coinfection, GB virus C (GBV-C) suppresses HIV-1 replication in vivo and in vitro, and GBV-C coinfection is associated with prolonged survival in HIV-infected people. GBV-C is a lymphotropic virus capable of persistent infection. GBV-C infection is associated with reduced T cell activation in HIV-infected humans, and immune activation is a critical component of HIV disease pathogenesis. We demonstrate that serum GBV-C particles inhibited activation of primary human T cells. T cell activation inhibition was mediated by the envelope glycoprotein E2, because expression of E2 inhibited TCR-mediated activation of Lck. The region on the E2 protein was characterized and revealed a highly conserved peptide motif sufficient to inhibit TCR-mediated signaling. The E2 region contained a predicted Lck substrate site, and substitution of an alanine or histidine for the tyrosine reversed TCR-signaling inhibition. GBV-C E2 protein and a synthetic peptide representing the inhibitory amino acid sequence were phosphorylated by Lck in vitro. The synthetic peptide also inhibited TCR-mediated activation of primary human CD4(+) and CD8(+) T cells. Extracellular microvesicles from GBV-C E2-expressing cells contained E2 protein and inhibited TCR signaling in bystander T cells not expressing E2. Thus, GBV-C reduced global T cell activation via competition between its envelope protein E2 and Lck following TCR engagement. This novel inhibitory mechanism of T cell activation may provide new approaches for HIV and immunoactivation therapy.																					WOS:000320373700049	23686495	
J	Banyard, Ashley C.; Horton, Daniel L.; Freuling, Conrad; Mueller, Thomas; Fooks, Anthony R.								Control and prevention of canine rabies: The need for building laboratory-based surveillance capacity								ANTIVIRAL RESEARCH				98	3			357	364		10.1016/j.antiviral.2013.04.004				JUN 2013	2013	Dogs are the source of more than 99% of human rabies virus infections in endemic regions. Without post-exposure prophylaxis, almost all cases are fatal, making rabies the most lethal infectious disease. Tens of thousands of deaths are reported annually, but the official figures are believed to be gross underestimates. Controlling canine rabies, especially in free-ranging dogs, is the first priority to reduce the burden of human disease. Because of their limited medical infrastructure, most endemic countries lack the laboratory facilities needed to diagnose human cases of viral encephalitis. Moreover, the veterinary sectors are often unable to undertake systematic surveillance and reporting of rabies in animals. Without an adequate and functioning risk assessment system that is primed for use, rabies will remain a 'neglected' and omnipresent disease, especially in poverty-stricken regions of the world. Fortunately, experience with the elimination of canine rabies from many industrialized countries has shown that these barriers are not insurmountable. Successful rabies prevention and control strategies that prove the absence of the disease depend on laboratory-based surveillance, rapid data reporting and an adequate system of risk assessment. Future control and prevention programmes should therefore coordinate the development of these key factors, creating synergies to eliminate rabies at its animal source. This article forms part of a symposium in Antiviral Research on the global elimination of canine rabies. Crown Copyright (C) 2013 Published by Elsevier B.V. All rights reserved.																					WOS:000320296400001	23603498	
J	Drexler, Jan Felix; Corman, Victor Max; Mueller, Marcel Alexander; Lukashev, Alexander N.; Gmyl, Anatoly; Coutard, Bruno; Adam, Alexander; Ritz, Daniel; Leijten, Lonneke M.; van Riel, Debby; Kallies, Rene; Klose, Stefan M.; Gloza-Rausch, Florian; Binger, Tabea; Annan, Augustina; Adu-Sarkodie, Yaw; Oppong, Samuel; Bourgarel, Mathieu; Rupp, Daniel; Hoffmann, Bernd; Schlegel, Mathias; Kuemmerer, Beate M.; Krueger, Detlev H.; Schmidt-Chanasit, Jonas; Aguilar Setien, Alvaro; Cottontail, Veronika M.; Hemachudha, Thiravat; Wacharapluesadee, Supaporn; Osterrieder, Klaus; Bartenschlager, Ralf; Matthee, Sonja; Beer, Martin; Kuiken, Thijs; Reusken, Chantal; Leroy, Eric M.; Ulrich, Rainer G.; Drosten, Christian								Evidence for Novel Hepaciviruses in Rodents								PLOS PATHOGENS				9	6					e1003438	10.1371/journal.ppat.1003438				JUN 2013	2013	Hepatitis C virus (HCV) is among the most relevant causes of liver cirrhosis and hepatocellular carcinoma. Research is complicated by a lack of accessible small animal models. The systematic investigation of viruses of small mammals could guide efforts to establish such models, while providing insight into viral evolutionary biology. We have assembled the so-far largest collection of small-mammal samples from around the world, qualified to be screened for bloodborne viruses, including sera and organs from 4,770 rodents (41 species); and sera from 2,939 bats (51 species). Three highly divergent rodent hepacivirus clades were detected in 27 (1.8%) of 1,465 European bank voles (Myodes glareolus) and 10 (1.9%) of 518 South African four-striped mice (Rhabdomys pumilio). Bats showed anti-HCV immunoblot reactivities but no virus detection, although the genetic relatedness suggested by the serologic results should have enabled RNA detection using the broadly reactive PCR assays developed for this study. 210 horses and 858 cats and dogs were tested, yielding further horse-associated hepaciviruses but none in dogs or cats. The rodent viruses were equidistant to HCV, exceeding by far the diversity of HCV and the canine/equine hepaciviruses taken together. Five full genomes were sequenced, representing all viral lineages. Salient genome features and distance criteria supported classification of all viruses as hepaciviruses. Quantitative RT-PCR, RNA in-situ hybridisation, and histopathology suggested hepatic tropism with liver inflammation resembling hepatitis C. Recombinant serology for two distinct hepacivirus lineages in 97 bank voles identified seroprevalence rates of 8.3 and 12.4%, respectively. Antibodies in bank vole sera neither cross-reacted with HCV, nor the heterologous bank vole hepacivirus. Co-occurrence of RNA and antibodies was found in 3 of 57 PCR-positive bank vole sera (5.3%). Our data enable new hypotheses regarding HCV evolution and encourage efforts to develop rodent surrogate models for HCV.																					WOS:000321206600041	23818848	
J	Kapoor, Amit; Simmonds, Peter; Cullen, John M.; Scheel, Troels K. H.; Medina, Jan L.; Giannitti, Federico; Nishiuchi, Eiko; Brock, Kenny V.; Burbelo, Peter D.; Rice, Charles M.; Lipkin, W. Ian								Identification of a Pegivirus (GB Virus-Like Virus) That Infects Horses								JOURNAL OF VIROLOGY				87	12			7185	7190		10.1128/JVI.00324-13				JUN 2013	2013	The recent identification of nonprimate hepaciviruses in dogs and then in horses prompted us to look for pegiviruses (GB virus-like viruses) in these species. Although none were detected in canines, we found widespread natural infection of horses by a novel pegivirus. Unique genomic features and phylogenetic analyses confirmed that the tentatively named equine pegivirus (EPgV) represents a novel species within the Pegivirus genus. We also determined that EPgV causes persistent viremia whereas its clinical significance is undetermined.																					WOS:000319508600062	23596285	
J	Olive, Marie-Marie; Razafindralambo, Nadia; Barivelo, Tony Andrianaivo; Rafisandratantsoa, Jean-Theophile; Soarimalala, Voahangy; Goodman, Steven M.; Rollin, Pierre E.; Heraud, Jean-Michel; Reynes, Jean-Marc								Absence of Rift Valley Fever Virus in Wild Small Mammals, Madagascar								EMERGING INFECTIOUS DISEASES				19	6			1025	1027		10.3201/eid1906.121074				JUN 2013	2013																						WOS:000328173500036	23735220	
J	Quan, Phenix-Lan; Firth, Cadhla; Conte, Juliette M.; Williams, Simon H.; Zambrana-Torrelio, Carlos M.; Anthony, Simon J.; Ellison, James A.; Gilbert, Amy T.; Kuzmin, Ivan V.; Niezgoda, Michael; Osinubi, Modupe O. V.; Recuenco, Sergio; Markotter, Wanda; Breiman, Robert F.; Kalemba, Lems; Malekani, Jean; Lindblade, Kim A.; Rostal, Melinda K.; Ojeda-Flores, Rafael; Suzan, Gerardo; Davis, Lora B.; Blau, Dianna M.; Ogunkoya, Albert B.; Alvarez Castillo, Danilo A.; Moran, David; Ngam, Sali; Akaibe, Dudu; Agwanda, Bernard; Briese, Thomas; Epstein, Jonathan H.; Daszak, Peter; Rupprecht, Charles E.; Holmes, Edward C.; Lipkin, W. Ian								Bats are a major natural reservoir for hepaciviruses and pegiviruses								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				110	20			8194	8199		10.1073/pnas.1303037110				MAY 14 2013	2013	Although there are over 1,150 bat species worldwide, the diversity of viruses harbored by bats has only recently come into focus as a result of expanded wildlife surveillance. Such surveys are of importance in determining the potential for novel viruses to emerge in humans, and for optimal management of bats and their habitats. To enhance our knowledge of the viral diversity present in bats, we initially surveyed 415 sera from African and Central American bats. Unbiased high-throughput sequencing revealed the presence of a highly diverse group of bat-derived viruses related to hepaciviruses and pegiviruses within the family Flaviridae. Subsequent PCR screening of 1,258 bat specimens collected worldwide indicated the presence of these viruses also in North America and Asia. A total of 83 bat-derived viruses were identified, representing an infection rate of nearly 5%. Evolutionary analyses revealed that all known hepaciviruses and pegiviruses, including those previously documented in humans and other primates, fall within the phylogenetic diversity of the bat-derived viruses described here. The prevalence, unprecedented viral biodiversity, phylogenetic divergence, and worldwide distribution of the bat-derived viruses suggest that bats are a major and ancient natural reservoir for both hepaciviruses and pegiviruses and provide insights into the evolutionary history of hepatitis C virus and the human GB viruses.																					WOS:000319803500050	23610427	
J	Arruda, Roberto C. N.; Barcante, Thales A.; Peconick, Ana Paula; Pereira, Stela M.; Souza, Jose C. P.; Sousa, Ticiana M.; Barcante, Joziana M. P.								Desmodus rotundus capture in forest (Amazon biome) and mangrove areas in the State of Maranhao, Brazil: a longitudinal study								PESQUISA VETERINARIA BRASILEIRA				33	5			571	574		10.1590/S0100-736X2013000500003				MAY 2013	2013	The aim of the study was to investigate the number of captures and the control of the common vampire bat Desmodus rotundus on small farms in the municipality of Cedral, State of Maranhao, Brazil. The area was chosen because the highest number of captures in Maranhao was made there around corrals. Official control is accomplished by applying warfarin 2%, a vampiricid gel, on captured bats. In this study, control records of captured hematophagous bats were analyzed, and a questionnaire was applied in the field to identify areas with the highest number of captures. From 2005 to 2010, 223 captures in 101 farms were studied; in 190 of them existed control with application of warfarin 2% gel on the bats.. There was a total of 344 attacked livestock out of 754 exposed animals, mostly cattle (49%), followed by horses (18%), poultry (15%), pigs (9%) and goats (8%). After 6 years, the proportion of captured male and female bats was 1.08 to 1.00, compared to 1.00 to 1.21 in the first year, what demonstrates that the treatment was more effective in females. Within three years, there was control in the number of bats in 95% of the farms, after 1 to 6 captures. The main attacked area of the animal bodies was the neck. Only 57% of the owners vaccinated their livestock. The present study concluded that (1) the control with capture of bats in corrals was effective, (2) but it is prudent to monitor the area during the first 3 months after the end of control, (3) the number of captured bats was similar to the number of recent bites, and (4) D. rotundus could attack any domestic animal, with little predilection for poultry.																					WOS:000321393700003		
J	Chiu, Charles								The hidden threat of unidentified agents of disease in human and veterinary biologicals								BIOLOGICALS				41	3			129	130		10.1016/j.biologicals.2013.03.004				MAY 2013	2013																						WOS:000319955300001	23622811	
J	Chandriani, Sanjay; Skewes-Cox, Peter; Zhong, Weidong; Ganem, Donald E.; Divers, Thomas J.; Van Blaricum, Anita J.; Tennant, Bud C.; Kistler, Amy L.								Identification of a previously undescribed divergent virus from the Flaviviridae family in an outbreak of equine serum hepatitis								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				110	15			E1407	E1415		10.1073/pnas.1219217110				APR 9 2013	2013	Theiler's disease is an acute hepatitis in horses that is associated with the administration of equine blood products; its etiologic agent has remained unknown for nearly a century. Here, we used massively parallel sequencing to explore samples from a recent Theiler's disease outbreak. Metatranscriptomic analysis of the short sequence reads identified a 10.5-kb sequence from a previously undescribed virus of the Flaviviridae family, which we designate "Theiler's disease-associated virus" (TDAV). Phylogenetic analysis clusters TDAV with GB viruses of the recently proposed Pegivirus genus, although it shares only 35.3% amino acid identity with its closest relative, GB virus D. An epidemiological survey of additional horses from three separate locations supports an association between TDAV infection and acute serum hepatitis. Experimental inoculation of horses with TDAV-positive plasma provides evidence that several weeks of viremia preceded liver injury and that liver disease may not be directly related to the level of viremia. Like hepatitis C virus, the best characterized Flaviviridae species known to cause hepatitis, we find TDAV is capable of efficient parenteral transmission, engendering acute and chronic infections associated with a diversity of clinical presentations ranging from subclinical infection to clinical hepatitis.																					WOS:000317948000011	23509292	
J	Hazelton, Briony; Alawi, Fatma Ba; Kok, Jen; Dwyer, Dominic E.								Hendra virus: a one health tale of flying foxes, horses and humans								FUTURE MICROBIOLOGY				8	4			461	474		10.2217/FMB.13.19				APR 2013	2013	Hendra virus, a member of the family Paramyxoviridae, was first recognized following a devastating outbreak in Queensland, Australia, in 1994. The naturally acquired symptomatic infection, characterized by a rapidly progressive illness involving the respiratory system and/or CNS, has so far only been recognized in horses and humans. However, there is potential for other species to be infected, with significant consequences for animal and human health. Prevention of infection involves efforts to interrupt the bat-to-horse and horse-to-human transmission interfaces. Education and infection-control efforts remain the key to reducing risk of transmission, particularly as no effective antiviral treatment is currently available. The recent release of an equine Hendra G glycoprotein subunit vaccine is an exciting advance that offers the opportunity to curb the recent increase in equine transmission events occurring in endemic coastal regions of Australia and thereby reduce the risk of infection in humans.																					WOS:000316799400009	23534359	
J	McLinden, James H.; Stapleton, Jack T.; Klinzman, Donna; Murthy, Krishna K.; Chang, Qing; Kaufman, Thomas M.; Bhattarai, Nirjal; Xiang, Jinhua								Chimpanzee GB virus C and GB virus A E2 envelope glycoproteins contain a peptide motif that inhibits human immunodeficiency virus type 1 replication in human CD4(+) T-cells								JOURNAL OF GENERAL VIROLOGY				94				774	782		10.1099/vir.0.047126-0				APR 2013	2013	GB virus type C (GBV-C) is a lymphotropic virus that can cause persistent infection in humans. GBV-C is not associated with any disease, but is associated with reduced mortality in human immunodeficiency virus type 1 (HIV-1)-infected individuals. Related viruses have been isolated from chimpanzees (GBV-Ccpz) and from New World primates (GB virus type A, GBV-A). These viruses are also capable of establishing persistent infection. We determined the nucleotide sequence encoding the envelope glycoprotein (E2) of two GBV-Ccpz isolates obtained from the sera of captive chimpanzees. The deduced GBV-Ccpz E2 protein differed from human GBV-C by 31 % at the amino acid level. Similar to human GBV-C E2, expression of GBV-Ccpz E2 in a tet-off human CD4(+) Jurkat T-cell line significantly inhibited the replication of diverse HIV-1 isolates. This anti-HIV-replication effect of GBV-Ccpz E2 protein was reversed by maintaining cells in doxycycline to reduce E2 expression. Previously, we found a 17 aa region within human GBV-C E2 that was sufficient to inhibit HIV-1. Although GBV-Ccpz E2 differed by 3 aa differences in this region, the chimpanzee GBV-C 17mer E2 peptide inhibited HIV-1 replication. Similarly, the GBV-A peptide that aligns with this GBV-C E2 region inhibited HIV-1 replication despite sharing only 5 aa with the human GBV-C E2 sequence. Thus, despite amino acid differences, the peptide region on both the GBV-Ccpz and the GBV-A E2 protein inhibit HIV-1 replication similar to human GBV-C. Consequently, GBV-Ccpz or GBV-A infection of non-human primates may provide an animal model to study GB virus-HIV interactions.																					WOS:000317995200010	23288422	
J	Root, J. Jeffrey								West Nile virus associations in wild mammals: a synthesis								ARCHIVES OF VIROLOGY				158	4			735	752		10.1007/s00705-012-1516-3				APR 2013	2013	Exposures to West Nile virus (WNV) have been documented in a variety of wild mammals in both the New and Old Worlds. This review tabulates at least 100 mammal species with evidence of WNV exposure. Many of these exposures were detected in free-ranging mammals, while several were noted in captive individuals. In addition to exposures, this review discusses experimental infections in terms of the potential for reservoir competence of select wild mammal species. Overall, few experimental infections have been conducted on wild mammals. As such, the role of most wild mammals as potential amplifying hosts for WNV is, to date, uncertain. In most instances, experimental infections of wild mammals with WNV have resulted in no or low-level viremia. Some recent studies have indicated that certain species of tree squirrels (Sciurus spp.), eastern chipmunks (Tamias striatus), and eastern cottontail rabbits (Sylvilagus floridanus) develop viremia sufficient for infecting some mosquito species. Certain mammalian species, such as tree squirrels, mesopredators, and deer have been suggested as useful species for WNV surveillance. In this review article, the information pertaining to wild mammal associations with WNV is synthesized.																					WOS:000317305200002	23212739	
J	Ciota, Alexander T.; Ehrbar, Dylan J.; Matacchiero, Amy C.; Van Slyke, Greta A.; Kramer, Laura D.								The evolution of virulence of West Nile virus in a mosquito vector: implications for arbovirus adaptation and evolution								BMC EVOLUTIONARY BIOLOGY				13						71	10.1186/1471-2148-13-71				MAR 20 2013	2013	Background: Virulence is often coupled with replicative fitness of viruses in vertebrate systems, yet the relationship between virulence and fitness of arthropod-borne viruses (arboviruses) in invertebrates has not been evaluated. Although the interactions between vector-borne pathogens and their invertebrate hosts have been characterized as being largely benign, some costs of arbovirus exposure have been identified for mosquitoes. The extent to which these costs may be strain-specific and the subsequent consequences of these interactions on vector and virus evolution has not been adequately explored.Results: Using West Nile virus (WNV) and Culex pipiens mosquitoes, we tested the hypothesis that intrahost fitness is correlated with virulence in mosquitoes by evaluating life history traits following exposure to either non-infectious bloodmeals or bloodmeals containing wildtype (WNV WT) or the high fitness, mosquito-adapted strain, WNV MP20 derived from WNV WT. Our results demonstrate strain-specific effects on mosquito survival, fecundity, and blood feeding behavior. Specifically, both resistance to and infection with WNV MP20, but not WNV WT, decreased survival of Cx. pipiens and altered fecundity and bloodfeeding such that early egg output was enhanced at a later cost.Conclusions: As predicted by the trade-off hypothesis of virulence, costs of infection with WNV MP20 in terms of survival were directly correlated to viral load, yet resistance to infection with this virulent strain was equally costly. Taken together, these results demonstrate that WNV MP20 infection decreases the transmission potential of Cx. pipiens populations despite the increased intrahost fitness of this strain, indicating that a virulence-transmission trade-off in invertebrates could contribute significantly to the adaptive and evolutionary constraint of arboviruses.																					WOS:000317404200001	23514328	
J	Both, Leonard; Banyard, Ashley C.; van Dolleweerd, Craig; Wright, Edward; Ma, Julian K-C; Fooks, Anthony R.								Monoclonal antibodies for prophylactic and therapeutic use against viral infections								VACCINE				31	12			1553	1559		10.1016/j.vaccine.2013.01.025				MAR 15 2013	2013	Neutralizing antibodies play an essential part in antiviral immunity and are instrumental in preventing or modulating viral diseases. Polyclonal antibody preparations are increasingly being replaced by highly potent monoclonal antibodies (mAbs). Cocktails of mAbs and bispecific constructs can be used to simultaneously target multiple viral epitopes and to overcome issues of neutralization escape. Advances in antibody engineering have led to a large array of novel mAb formats, while deeper insight into the biology of several viruses and increasing knowledge of their neutralizing epitopes has extended the list of potential targets. In addition, progress in developing inexpensive production platforms will make antiviral mAbs more widely available and affordable. Crown Copyright (c) 2013 Published by Elsevier Ltd. All rights reserved.																					WOS:000316535600003	23370150	
J	Escaffre, Olivier; Borisevich, Viktoriya; Carmical, J. Russ; Prusak, Deborah; Prescott, Joseph; Feldmann, Heinz; Rockx, Barry								Henipavirus Pathogenesis in Human Respiratory Epithelial Cells								JOURNAL OF VIROLOGY				87	6			3284	3294		10.1128/JVI.02576-12				MAR 2013	2013	Hendra virus (HeV) and Nipah virus (NiV) are deadly zoonotic viruses for which no vaccines or therapeutics are licensed for human use. Henipavirus infection causes severe respiratory illness and encephalitis. Although the exact route of transmission in human is unknown, epidemiological studies and in vivo studies suggest that the respiratory tract is important for virus replication. However, the target cells in the respiratory tract are unknown, as are the mechanisms by which henipaviruses can cause disease. In this study, we characterized henipavirus pathogenesis using primary cells derived from the human respiratory tract. The growth kinetics of NiV-Malaysia, NiV-Bangladesh, and HeV were determined in bronchial/tracheal epithelial cells (NHBE) and small airway epithelial cells (SAEC). In addition, host responses to infection were assessed by gene expression analysis and immunoassays. Viruses replicated efficiently in both cell types and induced large syncytia. The host response to henipavirus infection in NHBE and SAEC highlighted a difference in the inflammatory response between HeV and NiV strains as well as intrinsic differences in the ability to mount an inflammatory response between NHBE and SAEC. These responses were highest during HeV infection in SAEC, as characterized by the levels of key cytokines (interleukin 6 [IL-6], IL-8, IL-1 alpha, monocyte chemoattractant protein 1 [MCP-1], and colony-stimulating factors) responsible for immune cell recruitment. Finally, we identified virus strain-dependent variability in type I interferon antagonism in NHBE and SAEC: NiV-Malaysia counteracted this pathway more efficiently than NiV-Bangladesh and HeV. These results provide crucial new information in the understanding of henipavirus pathogenesis in the human respiratory tract at an early stage of infection.																					WOS:000315348500029	23302882	
J	Hirota, Jiro; Shimizu, Shinya								A new competitive ELISA detects West Nile virus infection using monoclonal antibodies against the precursor-membrane protein of West Nile virus								JOURNAL OF VIROLOGICAL METHODS				188	1-2			132	138		10.1016/j.jviromet.2012.12.002				MAR 2013	2013	Precursor membrane protein (prM) is found in the envelope of immature West Nile virus (WNV) particles. Anti-prM antibodies are found in flavivirus-infected animal sera, and they are known as relatively virus species specific antibodies. However, there are no known reports of WNV-specific epitope blocking or competitive enzyme-linked immunosorbent assay (c-ELISA) that detect anti-prM antibodies. Two anti-WNV-prM monoclonal antibodies (SHW-29C2 and SHW-3182) were generated, and c-ELISAs were developed using these monoclonal antibodies. The c-ELISAs were evaluated using WNV-infected chicken sera. Both c-ELISAs detected anti-prM antibodies in WNV-infected chicken sera and showed little cross-reactivity to antisera against Japanese encephalitis virus, St. Louis encephalitis virus, and Murray valley encephalitis virus. The average inhibition of chicken sera at 3 weeks post WNV infection was 61.6% in SHW-29C2-based c-ELISA and 71.8% in SHW-3182-based c-ELISA. High correlation was seen between percent inhibition in the c-ELISAs and optical density values of an IgG indirect ELISA. Additionally, SHW-3182-based c-ELISA detected antibodies against a wide variety of WNV strains. Detecting anti-PrM antibodies using c-ELISA could be useful for WNV serodiagnosis. Crown Copyright (C) 2012 Published by Elsevier B.V. All rights reserved.																					WOS:000316836000024	23266257	
J	Kapoor, Amit; Simmonds, Peter; Scheel, Troels K. H.; Hjelle, Brian; Cullen, John M.; Burbelo, Peter D.; Chauhan, Lokendra V.; Duraisamy, Raja; Leon, Maria Sanchez; Jain, Komal; Vandegrift, Kurt Jason; Calisher, Charles H.; Rice, Charles M.; Lipkin, W. Ian								Identification of Rodent Homologs of Hepatitis C Virus and Pegiviruses								MBIO				4	2					e00216-13	10.1128/mBio.00216-13				MAR-APR 2013	2013	Hepatitis C virus (HCV) and human pegivirus (HPgV or GB virus C) are globally distributed and infect 2 to 5% of the human population. The lack of tractable-animal models for these viruses, in particular for HCV, has hampered the study of infection, transmission, virulence, immunity, and pathogenesis. To address this challenge, we searched for homologous viruses in small mammals, including wild rodents. Here we report the discovery of several new hepaciviruses (HCV-like viruses) and pegiviruses (GB virus-like viruses) that infect wild rodents. Complete genome sequences were acquired for a rodent hepacivirus (RHV) found in Peromyscus maniculatus and a rodent pegivirus (RPgV) found in Neotoma albigula. Unique genomic features and phylogenetic analyses confirmed that these RHV and RPgV variants represent several novel virus species in the Hepacivirus and Pegivirus genera within the family Flaviviridae. The genetic diversity of the rodent hepaciviruses exceeded that observed for hepaciviruses infecting either humans or non-primates, leading to new insights into the origin, evolution, and host range of hepaciviruses. The presence of genes, encoded proteins, and translation elements homologous to those found in human hepaciviruses and pegiviruses suggests the potential for the development of new animal systems with which to model HCV pathogenesis, vaccine design, and treatment.IMPORTANCE The genetic and biological characterization of animal homologs of human viruses provides insights into the origins of human infections and enhances our ability to study their pathogenesis and explore preventive and therapeutic interventions. Horses are the only reported host of nonprimate homologs of hepatitis C virus (HCV). Here, we report the discovery of HCV-like viruses in wild rodents. The majority of HCV-like viruses were found in deer mice (Peromyscus maniculatus), a small rodent used in laboratories to study viruses, including hantaviruses. We also identified pegiviruses in rodents that are distinct from the pegiviruses found in primates, bats, and horses. These novel viruses may enable the development of small-animal models for HCV, the most common infectious cause of liver failure and hepatocellular carcinoma after hepatitis B virus, and help to explore the health relevance of the highly prevalent human pegiviruses.																					WOS:000318431500033	23572554	
J	Lamp, Boris; Dietzel, Erik; Kolesnikova, Larissa; Sauerhering, Lucie; Erbar, Stephanie; Weingartl, Hana; Maisner, Andrea								Nipah Virus Entry and Egress from Polarized Epithelial Cells								JOURNAL OF VIROLOGY				87	6			3143	3154		10.1128/JVI.02696-12				MAR 2013	2013	Highly pathogenic Nipah virus (NiV) infections are transmitted via airway secretions and urine, commonly via the respiratory route. Epithelial surfaces represent important replication sites in both primary and systemic infection phases. NiV entry and spread from polarized epithelial cells therefore determine virus entry and dissemination within a new host and influence virus shedding via mucosal surfaces in the respiratory and urinary tract. To date, there is no knowledge regarding the entry and exit sites of NiV in polarized epithelial cells. In this report, we show for the first time that NiV can infect polarized kidney epithelial cells (MDCK) from both cell surfaces, while virus release is primarily restricted to the apical plasma membrane. Substantial amounts of basolateral infectivity were detected only after infection with high virus doses, at time points when the integrity of the cell monolayer was largely disrupted as a result of cell-to-cell fusion. Confocal immunofluorescence analyses of envelope protein distribution at early and late infection stages suggested that apical virus budding is determined by the polarized sorting of the NiV matrix protein, M. Studies with stably M-expressing and with monensin-treated cells furthermore demonstrated that M protein transport is independent from the glycoproteins, implying that the M protein possesses an intrinsic apical targeting signal.																					WOS:000315348500015	23283941	
J	Dobrovolny, Hana M.; Reddy, Micaela B.; Kamal, Mohamed A.; Rayner, Craig R.; Beauchemin, Catherine A. A.								Assessing Mathematical Models of Influenza Infections Using Features of the Immune Response								PLOS ONE				8	2					e57088	10.1371/journal.pone.0057088				FEB 28 2013	2013	The role of the host immune response in determining the severity and duration of an influenza infection is still unclear. In order to identify severity factors and more accurately predict the course of an influenza infection within a human host, an understanding of the impact of host factors on the infection process is required. Despite the lack of sufficiently diverse experimental data describing the time course of the various immune response components, published mathematical models were constructed from limited human or animal data using various strategies and simplifying assumptions. To assess the validity of these models, we assemble previously published experimental data of the dynamics and role of cytotoxic T lymphocytes, antibodies, and interferon and determined qualitative key features of their effect that should be captured by mathematical models. We test these existing models by confronting them with experimental data and find that no single model agrees completely with the variety of influenza viral kinetics responses observed experimentally when various immune response components are suppressed. Our analysis highlights the strong and weak points of each mathematical model and highlights areas where additional experimental data could elucidate specific mechanisms, constrain model design, and complete our understanding of the immune response to influenza.																					WOS:000315524900051	23468916	
J	Arroyave, Johanna C.; Pujol, Flor H.; Navas, Maria C.; Cortes-Mancera, Fabian M.								Interaction between HIV-1 and GB virus type-C during coinfection status								REVISTA CHILENA DE INFECTOLOGIA				30	1			31	41		10.4067/S0716-10182013000100005				FEB 2013	2013	The human immunodeficiency virus (HIV) infection is one of the most important problems in public health. It is estimated that 33 million people are infected around the world. HIV and GBV-C share the same transmission route, being frequent the co-infection. Since both viruses replicate in CD4+ lymphocytes, recent studies have described an interaction. Decreasing of HIV viral load and higher CD4 counts have been observed in co-infected patients, leading a better clinical outcome. Nevertheless, some epidemiological studies have shown contradictory results. Additionally, in vitro models report inhibition of HIV by El, E2, NS3 and NS5A GBV-C proteins, resulting in a decreasing of p24 antigen. This review summarizes the principal findings about co-infection and mechanisms that have been proposed for HIV-1 inhibition.																					WOS:000314741800005	23450407	
J	Clayton, B. A.; Wang, L. F.; Marsh, G. A.								Henipaviruses: An Updated Review Focusing on the Pteropid Reservoir and Features of Transmission								ZOONOSES AND PUBLIC HEALTH				60	1	SI		69	83		10.1111/j.1863-2378.2012.01501.x				FEB 2013	2013	The henipaviruses, Hendra virus and Nipah virus, are pathogens that have emerged from flying foxes in Australia and South-east Asia to infect both livestock and humans, often fatally. Since the emergence of Hendra virus in Australia in 1994 and the identification of Australian flying foxes as hosts to this virus, our appreciation of bats as reservoir hosts of henipaviruses has expanded globally to include much of Asia and areas of Africa. Despite this, little is currently known of the mechanisms by which bats harbour viruses capable of causing such severe disease in other terrestrial mammals. Pteropid bat ecology, henipavirus virology, therapeutic developments and features of henipavirus infection, pathology and disease in humans and other mammals are reviewed elsewhere in detail. This review focuses on bats as reservoir hosts to henipaviruses and features of transmission of Hendra virus and Nipah virus following spillover from these reservoir hosts.																					WOS:000313487000007	22709528	
